Model,MAE,RMSE,MPAE
CNN-LSTM,21.140233796386724,29.69635888953611,1.8290841584842992
GRU,22.44327216552735,28.065528453300004,1.9277859985077905
LSTM,19.109573083496095,25.3183269553199,1.6447337131550692
XGBoost,19.91650147949219,25.02269570224947,1.7541924303004368
Random Forest,21.420486675293667,27.610724123108643,1.8736560979385086
Decision Tree,45.395468441271426,76.50351684956802,4.0129388517450115
Gradient Boosting,19.208904574400886,24.461392125265434,1.692580446603811
SVR,21.5373072806844,28.772840709022148,1.8990530514142587
ARIMA,112.71975908227869,133.18126071915975,9.832731045708691
ARIMA+MLP,118.3284458790411,139.73737910879828,10.352642570673652
RF+XGB+ARIMA,41.570311071536935,51.351677510973275,3.6338611500388245
ANN,1150758.4380342858,1169951.1217800395,104267.72394580493
